Alvo,Ligante,Afinidade (kcal/mol),rmsd l.b,rmsd u.b
1a52_ESR1.pdbqt,NuBBE_1273.pdbqt,-5.7,0.000,0.000
1a52_ESR1.pdbqt,NuBBE_663.pdbqt,-5.6,0.000,0.000
